时间,电能,进料数量,功率,1温区上,,1温区下,2温区上,2温区下,3温区上,3温区下,4温区上,4温区下,5温区上,5温区下,6温区上,6温区下,7温区上,7温区下,8温区上,8温区下,9温区上,9温区下,10温区上,10温区下,11温区上,11温区下,12温区上,12温区下,13温区上,13温区下,14温区上,14温区下,15温区上,15温区下,16温区上,16温区下,17温区上,17温区下,18温区上,18温区下,19温区上,19温区下,20温区上,20温区下,21温区上,21温区下
2016/10/22 14:21,3306868,69,390.4,454,,360,632,601,698,700,745,750,753,750,752,750,748,750,902,890,995,998,1065,1075,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1031,1006,986,950,932,904
2016/10/22 14:29,3306900,69,390.4,454,0,360,632,601,698,700,745,750,753,750,752,750,748,750,902,890,995,998,1065,1075,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1031,1006,986,950,932,904
2016/10/22 14:43,3306992,69,372,460,6,360,648,600,704,700,748,750,749,750,751,750,754,750,899,890,1001,998,1065,1075,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1029,1007,986,950,932,904
2016/10/22 14:48,3307021,69,366.6,445,-15,348,628,585,701,692,761,750,753,750,757,750,774,750,913,890,1001,998,1064,1075,1065,1065,1065,1064,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1029,1005,985,950,931,900
2016/10/22 14:53,3307053,69,399.8,444,-1,353,628,586,704,692,746,750,748,750,749,750,773,750,904,889,999,998,1065,1075,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1029,1005,984,950,931,898
2016/10/22 14:58,3307086,69,384.7,446,2,357,629,587,708,692,752,750,753,750,752,750,771,750,899,888,1000,997,1065,1074,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1028,1004,983,950,930,896
2016/10/22 15:03,3307118,69,391.2,447,1,360,630,588,711,693,749,750,749,750,749,750,767,750,901,887,1000,997,1065,1074,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1028,1004,983,950,929,895
2016/10/22 15:08,3307151,69,373.3,448,1,361,632,590,714,694,751,750,751,750,750,750,769,750,900,887,1000,997,1065,1074,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1028,1004,982,950,929,894
2016/10/22 15:13,3307179,69,330.8,451,3,365,638,597,721,699,754,750,751,750,751,750,765,750,901,889,1000,998,1065,1074,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1028,1003,982,950,927,891
2016/10/22 15:18,3307209,69,374.3,450,-1,360,642,600,724,700,748,750,748,750,749,750,764,750,899,889,1000,998,1065,1074,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1061,1061,1065,1065,1028,1002,981,950,927,889
